time_step,x_accel,y_accel,z_accel,user_id
0.0,0.6946399999999999,3.1735,7.5048,1
0.030639,0.14982,3.4868,9.2755,1
0.069763,-0.29965,1.9477,9.112,1
0.099823,-1.6889,1.4165,10.12,1
0.12982,-2.1793,0.95342,10.924000000000001,1
0.15979000000000002,-2.3018,0.23155,10.651,1
0.18982000000000002,-1.4165,1.185,11.073,1
0.2204,-0.27241,2.2201,11.985999999999999,1
0.24975999999999998,-0.61292,2.2201,11.985999999999999,1
0.27971999999999997,1.3348,4.2495,11.414000000000001,1
0.31801999999999997,3.4459,7.5865,12.599,1
0.34976,1.4982,4.9033,10.692,1
0.37985,-1.7979,1.1169,9.9156,1
0.40976,-2.3699,0.10895999999999999,9.003,1
0.44983,-1.4982,2.3427,9.2346,1
0.4798,-0.34051,3.2144,8.2403,1
0.50977,-0.23155,2.4925,8.4991,1
0.53979,-0.5311899999999999,1.5391,9.1529,1
0.56976,-1.5663,1.0351,10.800999999999998,1
0.5997899999999999,-1.5255,1.2258,11.345999999999998,1
0.62979,-0.8853200000000001,2.9148,9.7249,1
0.65982,-1.3076,2.3699,9.4253,1
0.68979,-0.65378,2.8739,8.9622,1
0.72055,0.23155,3.909,9.507,1
0.7500899999999999,-0.42223,2.6423,9.8475,1
0.7811600000000001,-0.57205,2.4925,9.1937,1
0.80984,-0.65378,3.4459,8.0088,1
0.8398700000000001,-0.34051,3.5277,9.112,1
0.8698100000000001,-0.34051,3.1463,9.7249,1
0.8997799999999999,-0.84446,3.2144,9.2346,1
0.9297799999999999,-1.0351,3.1463,9.5342,1
0.9599,-1.1169,2.8739,10.038,1
0.9898399999999999,-1.2258,3.5277,9.2346,1
1.0199,-1.0351,3.5958,8.8124,1
1.0498,-0.8036,3.7184,9.1529,1
1.0797,-0.72188,3.8273,8.9622,1
1.1098,-1.185,3.4051,8.431000000000001,1
1.1399,-1.6072,3.4051,8.7715,1
1.1699,-1.7298,3.4868,9.0848,1
1.1997,-1.757,3.6366,8.6898,1
1.2298,-1.757,3.9908,8.8532,1
1.2599,-1.9205,4.1406,8.8124,1
1.2903,-1.8387,4.0589,8.8124,1
1.3198,-1.7298,3.7184,8.54,1
1.3513,-1.757,3.8682,8.3084,1
1.3799,-1.757,3.7592,8.6625,1
1.4098,-1.757,3.6775,8.7306,1
1.4398,-1.9205,3.8682,9.1937,1
1.4698,-1.757,4.0589,9.0439,1
1.4998,-1.5663,4.1814,8.7306,1
1.5298,-1.9886,3.6366,9.1529,1
1.5598,-1.8796,3.8682,8.7715,1
1.5898,-1.6481,3.909,8.9622,1
1.6198,-2.3018,2.9829,8.6625,1
1.6498,-2.3699,3.5277,8.6625,1
1.6799,-1.6889,3.909,9.112,1
1.7098,-1.2258,4.0589,9.2755,1
1.7401,-1.3348,4.1406,9.3436,1
1.7698,-1.9205,3.9499,8.6217,1
1.7998,-2.4925,3.2961,8.9213,1
1.8298,-2.9556,2.7649,8.6217,1
1.8598,-2.7241,3.1054,8.6625,1
1.8899,-2.261,3.7184,8.8941,1
1.9198,-1.8796,4.018,8.8124,1
1.9501,-1.5255,3.8273,8.8941,1
1.9798,-1.3757,3.8273,8.7306,1
2.0099,-1.4574,3.6366,7.8589,1
2.0398,-1.5663,3.5277,8.3084,1
2.0697,-2.5334,3.5958,9.5342,1
2.0998,-2.6423,3.6366,9.8066,1
2.1298,-2.7922,4.1814,9.8066,1
2.1601,-3.0237,4.985,9.2755,1
2.1898,-3.4868,5.1757,8.2812,1
2.2199,-3.6366,4.2904,7.355,1
2.2498,-4.3721,4.3721,6.4697,1
2.2898,-4.6718,6.3607,6.4697,1
2.3198,-3.6775,6.5105,5.2438,1
2.3499,-3.4868,7.2733,4.7944,1
2.3809,-3.6775,6.2381,5.2847,1
2.4098,-4.5901,6.0883,6.5514,1
2.4398,-5.093999999999999,6.8238,5.2166,1
2.4702,-4.3994,8.1177,5.3256,1
2.4998,-3.6366,8.0496,4.0997,1
2.5298,-3.8682,6.6331,2.9148,1
2.5598,-2.9556,5.2438,4.6037,1
2.5897,-3.4051,9.6977,5.1349,1
2.6198,-4.4811,10.732999999999999,2.5334,1
2.6498,-3.5958,9.9565,2.5334,1
2.6798,-2.7241,9.6568,2.7241,1
2.7098,-1.3348,9.507,2.7922,1
2.7399,-0.91256,8.5808,1.9205,1
2.7702,-2.7513,7.1643,4.2495,1
2.7998,-2.3018,8.3084,5.2438,1
2.8299,-1.0351,8.431000000000001,4.4811,1
2.8599,-3.2144,7.7364,4.2087,1
2.8897,-3.909,10.76,2.9148,1
2.9199,-1.8387,14.206,1.9477,1
2.9498,1.4982,13.103,2.1112,1
2.9811,-0.040861,11.645,5.7886,1
3.0099,0.14982,7.5457,4.7535,1
3.0398,-0.84446,6.4016,2.6832,1
3.0698,-1.757,6.5922,8.4991,1
3.0999,3.1054,4.522,3.4868,1
3.1298,-0.34051,5.3256,3.9499,1
3.1598,-2.2201,7.2052,7.6274,1
3.1898,-0.72188,8.2403,5.6252,1
3.2198,0.081722,8.0496,4.522,1
3.2501,-0.8853200000000001,8.0769,4.6718,1
3.2798,-1.8796,7.8862,5.2847,1
3.3098,-0.76274,8.0088,5.4345,1
3.3401,-0.76274,9.616,4.6309,1
3.3698,0.8036,8.8124,4.2904,1
3.3998,-1.3348,5.6661,5.0531,1
3.4297,-1.0351,7.5457,5.4345,1
3.4598,-0.50395,10.651,3.6366,1
3.4898,-0.0,9.9565,3.9499,1
3.5198,-0.8853200000000001,9.3027,5.3256,1
3.5499,-1.9886,8.54,5.7069,1
3.5798,-0.61292,11.305,5.8295,1
3.6101,1.0759999999999998,12.299000000000001,5.093999999999999,1
3.64,0.23155,10.883,3.5958,1
3.6701,-1.7979,10.379000000000001,3.4459,1
3.7136,0.5311899999999999,9.6977,4.985,1
3.7498,4.7535,7.0826,2.6423,1
3.7827,4.0589,6.0883,1.4574,1
3.8202,3.2961,6.7421,0.84446,1
3.8634,3.2144,6.279,0.50395,1
3.8998,4.7535,5.4754,0.14982,1
3.9427,5.8295,5.8567,0.8036,1
3.9798,7.3141,6.6331,-0.5311899999999999,1
4.0123,9.112,6.0202,-1.6481,1
4.04,9.6977,4.9442,-0.99429,1
4.0699,8.0769,2.7241,-0.081722,1
4.0999,7.2733,2.0703,-0.65378,1
4.1297,7.8589,3.7865,-2.1112,1
4.1598,9.4253,5.4345,-2.7513,1
4.1899,10.147,5.093999999999999,-2.5606,1
4.2206,8.2403,4.6309,-1.3348,1
4.2498,6.2109,4.3994,1.757,1
4.2808,10.079,4.3721,2.3699,1
